"mProtein","dProtein"
"P14923","P0CG20"
"Q9BRK4","P0CG20"
"Q9NU19","Q68G74"
"Q8WWY3","Q68G74"
"Q86Y26","Q68G74"
"Q86U70","Q68G74"
"Q8N6L0","Q8IY26"
"Q96LL3","Q8IY26"
"Q96BA8","Q8IY26"
"Q8TBP5","Q8IY26"
"Q8TBB6","Q8IY26"
"Q9UBN6","Q8IY26"
"A0A024R644","Q8IY26"
"Q5JX71","Q8IY26"
"Q9BY50","Q8IY26"
"Q96HJ5","Q8IY26"
"Q13651","Q8IY26"
"P15151","Q8IY26"
"Q15025","Q8N4P3"
"Q13287","Q8N4P3"
"O00471","Q8N4P3"
"Q9Y282","Q8TDV0"
"O15173","Q8TDV0"
"O14735","Q8TDV0"
"Q99675","Q8TDV0"
"Q8N0V3","Q96DZ9"
"P04798","Q96DZ9"
"Q6RVD6","Q96DZ9"
"Q96PE7","Q96DZ9"
"Q8N205","Q96DZ9"
"Q6NT76","Q96HR9"
"Q63HR2","Q96HR9"
"Q9NRS6","Q96HR9"
"Q7Z6V5","Q96GM5"
"Q9BWG6","Q96GM5"
"O00308","Q96GM5"
"P40199","Q96GM5"
"Q6PI77","Q96GM5"
"A8MQ03","Q96GM5"
"Q96B67","Q96GM5"
"Q13064","Q96GM5"
"Q7L4P6","Q96GM5"
"Q5JR12","Q96GM5"
"Q96HZ4","Q96GM5"
"P31249","Q96GM5"
"Q9UEG4","Q96GM5"
"A0A0A0MR80","Q96GM5"
"Q14145","Q96GM5"
"Q9H3P2","Q96GM5"
"Q9H9H4","Q96GM5"
"Q96KN3","Q96GM5"
"O43586","Q96GM5"
"P13994","Q96GM5"
"Q99619","Q96GM5"
"Q9UKT9","Q96GM5"
"P08123","Q96GM5"
"Q9UJW9","Q96GM5"
"O75420","Q96GM5"
"Q9BRK4","Q96GM5"
"Q5BKX5-3","Q96GM5"
"Q6IC98","Q96GM5"
"A6NEM1","Q96GM5"
"Q13526","Q9BTY2"
"Q2TAL6","Q9BTY2"
"P50222","Q9BTY2"
"O96014","Q9BTY2"
"Q9UL45","Q9BV36"
"O00194","Q9BV36"
"Q6P9E2","Q9BV36"
"O43513","Q9BWU1"
"Q9NVC6","Q9BWU1"
"Q93074","Q9BWU1"
"O75586","Q9BWU1"
"Q9Y3C7","Q9BWU1"
"P35637","Q9H3D4"
"Q13526","Q9H3D4"
"Q13625","Q9H3D4"
"Q8WV44","Q9Y2P0"
"Q9H5H4","Q9Y2P0"
"Q9UEG4","Q9Y2P0"
"Q9Y6K9","Q9Y2P0"
"Q4V328","Q9Y2P0"
"P49761","Q9Y2P0"
"Q93062","A2VCK2"
"O43559","A2VCK2"
"Q8N9N5","A2VCK2"
"Q6ZVD8","O14745"
"P13569","O14745"
"P07550","O14745"
"Q9BXI6","O14745"
"P09619","O14745"
"P47900","O14745"
"Q9NWQ8","O14745"
"P46937","O14745"
"Q13177","O94875"
"Q9UHB6","O94875"
"P42768","O94875"
"P31749","O95999"
"Q12933","O95999"
"Q9BXL7","O95999"
"Q05513","O95999"
"P20749","O95999"
"Q8N6Y0","O95999"
"Q00403","P20226"
"P21675","P20226"
"Q15545","P20226"
"Q53T94","P20226"
"P52655","P20226"
"Q5JR59","P41220"
"Q9UBQ0","P41220"
"O60260","P41220"
"P49790","P49790"
"P02545","P49790"
"Q9UPY3","P49790"
"Q9UBU9","P49790"
"Q92973","P49790"
"Q8NI60","P55809"
"O75891","P55809"
"Q07021","P55809"
"Q5T749","P60228"
"O15371","P60228"
"Q6NTE8","P60228"
"Q96MX3","P60228"
"Q59EK9","P60228"
"P43146","P60228"
"Q5JXC2","P60228"
"Q14152","P60228"
"Q8TB40","Q00765"
"Q96AL5","Q00765"
"Q6P1Q0","Q00765"
"O75376","P85037"
"Q96ST3","P85037"
"P03372","P85037"
"Q9BZK7","P85037"
"Q92560","P85037"
"Q5TA45","Q16512"
"Q9UGI0","Q16512"
"P07196","Q16512"
"Q13064","Q16512"
"Q8IX21","Q5VUG0"
"Q01664","Q5VUG0"
"Q9C0C9","Q5VUG0"
"Q0VD86","Q6P5X5"
"O43559","Q6P5X5"
"Q8N9N5","Q6P5X5"
"Q96B26","Q6P5X5"
"Q3B820","Q86Y26"
"P52292","Q86Y26"
"Q14997","Q86Y26"
"Q96EB6","Q8WTS6"
"Q04206","Q8WTS6"
"P04637","Q8WTS6"
"P26358","Q8WTS6"
"O60232","Q99832"
"P78318","Q99832"
"Q9H6K4","Q99832"
"P23258","Q99832"
"P13569","Q99832"
"Q9NXB0","Q99832"
"O75381","Q99832"
"Q15256","Q99832"
"P10398","Q99832"
"O43815","Q99832"
"Q13033","Q99832"
"Q96K78","Q99523"
