PFAM_ID	ID
PF00390	GO:0055114
PF00393	GO:0004616
PF00393	GO:0006098
PF00393	GO:0055114
PF00394	GO:0055114
PF00397	GO:0005515
PF00400	GO:0005515
PF00403	GO:0046872
PF00408	GO:0016868
PF00408	GO:0071704
PF00410	GO:0003735
PF00410	GO:0006412
PF00410	GO:0005840
PF00411	GO:0003735
PF00411	GO:0006412
PF00411	GO:0005840
PF00413	GO:0004222
PF00413	GO:0008270
PF00413	GO:0006508
PF00413	GO:0031012
PF00416	GO:0003723
PF00416	GO:0003735
PF00416	GO:0006412
PF00416	GO:0005840
PF00418	GO:0015631
PF00432	GO:0003824
PF00433	GO:0004674
PF00433	GO:0005524
PF00433	GO:0006468
PF00435	GO:0005515
PF00436	GO:0003697
PF00438	GO:0004478
PF00438	GO:0006556
PF00439	GO:0005515
PF00441	GO:0016627
PF00441	GO:0055114
PF00443	GO:0004843
PF00443	GO:0016579
PF00444	GO:0003735
PF00444	GO:0006412
PF00444	GO:0005840
PF00445	GO:0003723
PF00445	GO:0033897
PF00446	GO:0005179
PF00446	GO:0007275
PF00446	GO:0005576
PF00447	GO:0003700
PF00447	GO:0043565
PF00447	GO:0006355
PF00448	GO:0005525
PF00448	GO:0006614
PF00450	GO:0004185
PF00450	GO:0006508
PF00452	GO:0042981
PF00453	GO:0003735
PF00453	GO:0019843
PF00453	GO:0006412
PF00453	GO:0005840
PF00458	GO:0004812
PF00458	GO:0005524
PF00458	GO:0006418
PF00459	GO:0046855
PF00462	GO:0015035
PF00465	GO:0016491
PF00465	GO:0046872
PF00465	GO:0055114
PF00466	GO:0042254
PF00468	GO:0003735
PF00468	GO:0006412
PF00468	GO:0005840
PF00471	GO:0003735
PF00471	GO:0006412
PF00471	GO:0005840
PF00472	GO:0003747
PF00472	GO:0006415
PF00473	GO:0005179
PF00473	GO:0005576
PF00474	GO:0022857
PF00474	GO:0055085
PF00474	GO:0016020
PF00476	GO:0003677
PF00476	GO:0003887
PF00476	GO:0006260
PF00478	GO:0003824
PF00478	GO:0055114
PF00479	GO:0016614
PF00479	GO:0050661
PF00479	GO:0006006
PF00479	GO:0055114
PF00481	GO:0016791
PF00483	GO:0016779
PF00483	GO:0009058
PF00485	GO:0005524
PF00485	GO:0016301
PF00487	GO:0006629
PF00488	GO:0005524
PF00488	GO:0030983
PF00488	GO:0006298
