"mProtein","dProtein"
"Q5XKE5","Q8N6Y0"
"Q5VWN6","Q8N6Y0"
"Q2KHM9","Q8N6Y0"
"Q8N6Y0","Q8N6Y0"
"P53365","Q8N6Y0"
"Q5JUK2","Q8N6Y0"
"P07992","Q8N6Y0"
"Q9H0I2","Q8N6Y0"
"Q5T280","Q0VD86"
"Q5HYW2","Q0VD86"
"Q9H0W8","Q0VD86"
"P62310","Q0VD86"
"O15084","Q0VD86"
"Q9Y534","Q0VD86"
"Q14119","Q0VD86"
"P51687","Q0VD86"
"Q9UJX0","Q0VD86"
"P49761","Q0VD86"
"Q15561","Q0VD86"
"Q96RK0","Q08379"
"Q96F82","Q08379"
"O95983","Q08379"
"Q15386","Q08379"
"Q99469","Q08379"
"Q8TC71","Q08379"
"Q2TBE0","Q08379"
"Q92993","Q08379"
"Q15560","Q08379"
"X5D778","Q08379"
"Q08378","Q08379"
"Q9NU19","Q08379"
"Q8TBE0","Q08379"
"Q8N443","Q08379"
"Q14687","Q08379"
"Q969R5","Q08379"
"Q6ZTW0","Q08379"
"Q99633","Q08379"
"Q9UHB7","Q08379"
"Q96FJ0","Q08379"
"Q5JVL4","Q08379"
"Q96T49","Q08379"
"Q5TAP6","Q08379"
"O43395","Q08379"
"O95886","Q08379"
"Q8TAE8","Q08379"
"P29474","Q08379"
"Q5T8A7","Q08379"
"Q8IYH5","Q08379"
"Q969G3","Q08379"
"O95391","Q08379"
"Q96MY7","Q08379"
"A4D1E9","Q08379"
"Q9BSJ6","Q08379"
"Q8NCN4","Q08379"
"Q8IX12","Q08379"
"P78337","Q08379"
"Q9BW85","Q08379"
"Q9UPN6","Q08379"
"O95872","Q08379"
"Q6NS38","Q08379"
"Q9BU76","Q08379"
"Q15643","Q08379"
"Q8NA57","Q08379"
"A0A0S2Z3U4","Q08379"
"Q63HK5","Q08379"
"Q08495","Q08379"
"Q9NRE2","Q08379"
"Q9NVF7","Q08379"
"P48552","Q08379"
"Q96GE4","Q08379"
"Q03252","Q08379"
"Q5S007","Q08379"
"Q92917","Q08379"
"Q99459","Q08379"
"O75689","Q08379"
"E9PSE9","Q08379"
"Q9BRU9","Q08379"
"Q96C55","Q08379"
"O94875-10","Q08379"
