"mProtein","dProtein"
"Q9P0K7","P11279"
"Q8TCJ2","P11279"
"Q86W92","P11279"
"Q5VZM2","P11279"
"Q96F07","P11279"
"P02786","P11279"
"Q15334","P11279"
"Q7KZI7","P11279"
"P05556","P11279"
"P50402","P11279"
"P35222","P11279"
"Q9HBM0","P11279"
"P08240","P11279"
"Q86UE4","P11279"
"Q9UHR4","P11279"
"Q5JTV8","P11279"
"P27448","P11279"
"Q5T011","P11279"
"P03427","P11279"
"Q9UQB8","P11279"
"O75976","P11279"
"P11717","P11279"
"Q9Y6M7","P11279"
"P26555","Q12959"
"P51608","P61244"
"Q8IWI9","P61244"
"P49916","P61244"
"P03070","P61244"
"Q9H3U1","P61244"
"P05549","P61244"
"Q01167","P61244"
"Q8N9N5","P61244"
"Q8IVT5","P61244"
"P18887","P61244"
"Q8N163","P61244"
"Q77M20","O15111"
"P13569","P12004"
"Q14527","P12004"
"P04075","P12004"
"P20585","P12004"
"B4URF7","P12004"
"Q16665","Q09472"
"Q9H2X6","Q09472"
"P11473","Q09472"
"P03070","Q09472"
"Q99613","P55884"
"P19320","P55884"
"Q8AZK7","P55884"
"Q7L2H7","P55884"
"Q5S007","P55884"
"O75821","P55884"
"O15371","P55884"
"O00303","P55884"
"P26045","P55884"
"O00571","P55884"
"P78527","P12956"
"Q9UBX2","P12956"
"P10276","P12956"
"Q15554","P12956"
"P01106","P12956"
"P04296","P12956"
"Q14191","P12956"
"Q9BTT0","P12956"
"P49715","P12956"
"P09629","P12956"
"P05412","P12956"
"Q8IW19","P12956"
"O75923","P12956"
"Q96EB6","P12956"
"P03070","O95816"
"P19338","O95816"
"P62241","O95816"
"P13010","O95816"
"Q96GX1","Q14318"
"O39474","Q14318"
"Q86VR2","Q14318"
"Q9GZT9","Q14318"
"P0DP23","Q14318"
"P07900","Q14318"
"Q3KNW5","Q14318"
"Q9WMX2","P52294"
"Q1K9E3","Q93062"
"P0DTD1","O75506"
"Q8TBB1","O75506"
"Q9BVG8","O75506"
"Q9H190","O75506"
"P55040","Q6PF18"
"Q9BRK4","Q6PF18"
"P06429","Q6PF18"
"Q8WW24","Q6PF18"
"O15160","Q6PF18"
"P40692","Q6PF18"
"Q96GN5","Q6PF18"
"Q86YD7","Q6PF18"
"Q9UMS0","Q6PF18"
"P50222","Q6PF18"
"Q9BWG6","Q6PF18"
"Q9P0S9","Q96E29"
"P03466","Q96E29"
"O15126","Q96E29"
"Q96AL5","Q96E29"
"P02654","Q96E29"
"B4URF7","O00629"
"P0DTC3","P16615"
"O00213","P16615"
"P00533","P16615"
"O00716","P16615"
"P01106","P16615"
"P27824","P16615"
"P16717","Q14160"
"O15226","O75569"
"Q5S007","O75569"
"Q08426","O75569"
"Q67020","O75569"
"Q9UPY3","O75569"
"Q8TBB1","O75569"
"O95793","O75569"
"Q9HA38","O75569"
"H9XIJ5","P12004"
"D1LN35","P31943"
"P05412","P31943"
"Q99459","P31943"
"Q8NEC5","P31943"
"O95872","P31943"
"Q96MY7","Q08379"
"O95872","Q08379"
"P38936","Q08379"
"O43395","Q08379"
"Q8N443","Q08379"
"Q15560","Q08379"
"Q56NI9","Q08379"
"Q6P444","Q08379"
"Q15643","Q08379"
"Q9Y247","Q08379"
"Q99459","Q08379"
"Q9BRU9","Q08379"
"Q8TAE8","Q08379"
"Q9NU19","Q08379"
"O95983","Q08379"
"Q08495","Q08379"
"O95391","Q08379"
"Q63HK5","Q08379"
"Q92917","Q08379"
"A4D1E9","Q08379"
"Q96RK0","Q08379"
"O75689","Q08379"
"Q5S007","Q08379"
"O75348","Q08379"
"Q5TAP6","Q08379"
"Q969G3","Q08379"
"E9PSE9","Q08379"
"Q8WUT1","Q08379"
"Q96I25","Q08379"
"Q9BW85","Q08379"
"Q03252","Q08379"
"Q15386","Q08379"
"Q9BSJ6","Q08379"
"Q5JVL4","Q08379"
"Q9NVL8","Q08379"
"Q14687","Q08379"
"Q96T49","Q08379"
"Q8IX12","Q08379"
"Q15735","Q08379"
"Q08378","Q08379"
"Q96FJ0","Q08379"
"Q9UPN6","Q08379"
"Q8IYH5","Q08379"
"Q9BU76","Q08379"
"Q969R5","Q08379"
"P29991","Q08379"
"Q8NA57","Q08379"
"P48552","Q08379"
"Q8N715","Q08379"
"X5D778","Q08379"
"Q9Y6Y8","Q08379"
"O94875-10","Q08379"
"Q2TBE0","Q08379"
"Q96GE4","Q08379"
"P29474","Q08379"
"Q8TBE0","Q08379"
"P49756","Q08379"
"Q5T4S7","Q08379"
"Q96SW2","Q16531"
"P42224","Q16531"
"Q13620","Q16531"
"Q04725","Q16531"
"Q05513","Q16531"
"Q9H9F9","Q16531"
"Q9ULG1","Q16531"
"P05412","Q16531"
"P03070","O00629"
"P24835","Q12959"
"Q77UU1","O43791"
"Q9Y6Q9","O43791"
"Q99836","O43791"
"Q9UER7","O43791"
"Q13618","O43791"
"P38432","P22087"
"Q99IB8","P22087"
"P22087","P22087"
"P17844","P22087"
"Q9NZB2","P22087"
"Q13895","P22087"
"Q96I24","P22087"
"Q01804","P22087"
"Q8TDD1","P22087"
"Q8IY81","P22087"
"Q8N726","P22087"
"Q9Y6M1","P22087"
"O95373","P22087"
"Q5C9Z4","P22087"
"Q9C0C9","P22087"
"P19554","Q9Y297"
"Q9BZL4","Q8N6Y0"
"Q13064","Q8N6Y0"
"Q5VWN6","Q8N6Y0"
"Q8TAB5","Q8N6Y0"
"Q63ZY3","Q8N6Y0"
"P30626","Q8N6Y0"
"Q9BVI4","Q8N6Y0"
"Q76N32","Q8N6Y0"
"Q548N1","Q8N6Y0"
"P53365","Q8N6Y0"
"P15173","Q8N6Y0"
"Q6PJG6","Q8N6Y0"
"Q8NCU1","Q8N6Y0"
"O95999","Q8N6Y0"
"P03188","Q8N6Y0"
"Q16512","Q8N6Y0"
"Q969G3","Q8N6Y0"
"P37198","Q8N6Y0"
"Q99816","Q8N6Y0"
"Q5T124","Q8N6Y0"
"Q86UD0","Q8N6Y0"
"Q9NRD5","Q8N6Y0"
"Q9BWG6","Q8N6Y0"
"Q9Y4H4","Q8N6Y0"
"Q8N6Y0","Q8N6Y0"
"Q9P0W2","Q8N6Y0"
"P38936","Q8N6Y0"
"O43521","Q8N6Y0"
"Q5JXC2","Q8N6Y0"
"Q9UK41","Q8N6Y0"
"P59942","Q8N6Y0"
"Q5JUK2","Q8N6Y0"
"Q9WMX2","Q08379"
"P62195","P05412"
"P62140","P05412"
"Q08211","P05412"
"P42166","P05412"
"P22314","P05412"
"P78527","P05412"
"Q13200","P05412"
"P38398","P05412"
"Q13112","P05412"
"P46087","P05412"
"P36578","P05412"
"Q92945","P05412"
"Q15717","P05412"
"P23528","P05412"
"Q15365","P05412"
"P19338","P05412"
"Q15029","P05412"
"P22087","P05412"
"Q15554","P05412"
"P23396","P05412"
"Q12874","P05412"
"P49327","P05412"
"Q8IWZ3","P05412"
"Q6UB35","P05412"
"Q9HD26","P05412"
"O15042","P05412"
"Q04206","P05412"
"P00338","P05412"
"P26640","P05412"
"P49368","P05412"
"Q8IYB1","P05412"
"P60709","P05412"
"P36957","P05412"
"Q13509","P05412"
"P54136","P05412"
"P53779","P05412"
"P14866","P05412"
"P43243","P05412"
"P49916","P05412"
"P51610","P05412"
"Q9UKA9","P05412"
"P14618","P05412"
"O75400","P05412"
"O15355","P05412"
"P13010","P05412"
"P33992","P05412"
"Q00987","P05412"
"Q9WMX2","P05412"
"Q8WX92","P05412"
"Q96B23","P05412"
"Q07955","P05412"
"P03129","Q9Y6N5"
"P13569","Q9Y6N5"
"P03372","Q9Y6N5"
"P05919","Q9Y297"
"P42858","Q8N2W9"
"P03118","Q8N2W9"
"Q04206","Q8N2W9"
"P04637","Q8N2W9"
"Q9H2P0","P01106"
"Q8TAD8","P01106"
"Q96EB6","P01106"
"O75182","P01106"
"Q9UQ26","P01106"
"P04198","P01106"
"Q9DH70","P01106"
"P78346","P01106"
"Q15910","P01106"
"P01106","P01106"
"Q13309","P01106"
"Q9Y232","P01106"
"Q8IZQ1","P01106"
"Q09472","P01106"
"Q86XR8","P01106"
"P08047","P01106"
"P40938","P01106"
"O75928","P01106"
"Q9NXW2","P01106"
"Q13105","P01106"
"P02545","P01106"
"Q13547","P01106"
"Q5SW79","P01106"
"O60341","P01106"
"P12956","P01106"
"A9UGY9","P50222"
"Q0D2H9","P50222"
"P61764","P50222"
"P03431","P50222"
"Q969G3","P50222"
"P40222","P50222"
"O60336","P50222"
"Q99909","P50222"
"Q9Y4H4","P50222"
"Q96HT8","P50222"
"Q9H0W8","Q0VD86"
"P51687","Q0VD86"
"Q5HYW2","Q0VD86"
"O15084","Q0VD86"
"P49761","Q0VD86"
"Q15561","Q0VD86"
"P0C6X7","Q0VD86"
"Q5T280","Q0VD86"
"Q9UJX0","Q0VD86"
"P62310","Q0VD86"
"Q9Y534","Q0VD86"
"P03496","O14908"
"Q9HB19","O14908"
"Q13641","O14908"
"P17643","O14908"
"P49247","Q8TBB1"
"Q9UGI0","Q8TBB1"
"Q03393","Q8TBB1"
"Q7Z353","Q8TBB1"
"A2RRN7","Q8TBB1"
"O96006","Q8TBB1"
"Q96B26","Q8TBB1"
"Q13114","Q8TBB1"
"Q9H2G4","Q8TBB1"
"Q9Y2T1","Q8TBB1"
"Q8TAP6","Q8TBB1"
"Q13370","Q8TBB1"
"Q8N1B4","Q8TBB1"
"O75031","Q8TBB1"
"Q9BT49","Q8TBB1"
"P14373","Q8TBB1"
"Q96MH2","Q8TBB1"
"Q9P209","Q8TBB1"
"Q15742","Q8TBB1"
"P19474","Q8TBB1"
"Q9NSC5","Q8TBB1"
"P52597","Q8TBB1"
"Q96M61","Q8TBB1"
"Q86V42","Q8TBB1"
"Q13094","Q8TBB1"
"Q9ULA0","Q8TBB1"
"O43298","Q8TBB1"
"Q9BYM8","Q8TBB1"
"Q5JR59","Q8TBB1"
"Q9H4L5","Q8TBB1"
"Q9H707","Q8TBB1"
"Q15654","Q8TBB1"
"Q2NL98","Q8TBB1"
"Q8NHQ1","Q8TBB1"
"Q92917","Q8TBB1"
"P09972","Q8TBB1"
"V9HW56","Q8TBB1"
"Q4V328","Q8TBB1"
"Q92841","Q8TBB1"
"P61289","Q8TBB1"
"A6NC98","Q8TBB1"
"Q9NRG1","Q8TBB1"
"Q96FN4","Q8TBB1"
"P55072","Q8TBB1"
"P03070","Q8TBB1"
"Q6EMK4","Q8TBB1"
"O14771","Q8TBB1"
"Q96M63","Q8TBB1"
"Q96HH0","Q8TBB1"
"Q8IYA8","Q8TBB1"
"Q8WWB3","Q8TBB1"
"Q8WXE1","Q8TBB1"
"O14978","Q8TBB1"
"Q9Y6D9","Q8TBB1"
"O00488","Q8TBB1"
"Q69117","P48643"
"P04049","P48643"
"P13569","P48643"
"Q76RF7","Q9H4P4"
"Q9NWX5","Q9H4P4"
"P54725","Q9H4P4"
"Q14257","O00483"
"Q8NBX0","O00483"
"Q9NVI7","O00483"
"O95202","O00483"
"Q9NX40","O00483"
"Q13085","O00483"
"Q9UJZ1","O00483"
"P00387","O00483"
"Q8NBN7","O00483"
"Q9H078","O00483"
"P40939","O00483"
"P50416","O00483"
"Q3ZCQ8","O00483"
"Q16891","O00483"
"O95721","O00483"
"P03246","O00483"
"P38646","O00483"
"Q9NX63","O00483"
"O00429","O00483"
"Q84940","Q15370"
"P49336","Q15370"
"Q96EL3","Q15370"
"Q96S21","Q15370"
"Q13617","Q15370"
"P78395","Q15370"
"Q0A2H0","O14908"
"Q9BTL3","P31943"
"Q9UH99","P31943"
"Q9NR56","P31943"
"P19838","P31943"
"A8E1C4","P31943"
"Q96HB5","P31943"
"Q9H0I2","P31943"
"Q92841","P31943"
"P36807","Q12959"
"O14503","Q86U06"
"Q9Y5V3","Q86U06"
"P05894","Q86U06"
"P03372","Q86U06"
"P14373","Q86U06"
"P08559","Q86U06"
"O14744","Q86U06"
"O43189","Q9UBB9"
"Q13064","Q9UBB9"
"Q13671","Q9UBB9"
"P03346","Q9UBB9"
"Q9Y3C0","Q9UBB9"
"Q14687","Q9UBB9"
"Q8NA92","Q9UBB9"
"Q8NHY3","Q9UBB9"
"Q86YD7","Q9UBB9"
"Q6NYC8","Q9UBB9"
"O60341","Q9UBB9"
"Q96GE4","Q9UBB9"
"Q9BWG6","Q9UBB9"
"Q9P2K3","Q9UBB9"
"Q7Z3B3","Q9UBB9"
"P30281","Q9UBB9"
"Q969G5","Q9UBB9"
"A0A024R4Q5","Q9UBB9"
"Q9ULD5","Q9UBB9"
"Q9BT49","Q9UBB9"
"Q63ZY3","Q9UBB9"
"Q9UER7","Q9UBB9"
"Q96HB5","Q9UBB9"
"Q9H9E1","P56524"
"P10275","P56524"
"P06428","P56524"
"P41182","P56524"
"P15336","P56524"
"P31947","P56524"
"O75376","P56524"
"Q5JR59","P56524"
"P63279","P56524"
"O95967","P56524"
"O75689","Q92997"
"O43463","Q92997"
"Q13351","Q92997"
"O15169","Q92997"
"O43474","Q92997"
"Q96T60","Q92997"
"P20719","Q92997"
"Q8N8U2","Q92997"
"P23025","Q92997"
"Q8TAD8","Q92997"
"O15481","Q92997"
"Q6ZU80","Q92997"
"Q8NHU0","Q92997"
"Q96MU7","Q92997"
"P0DMU9","Q92997"
"P61289","Q92997"
"Q96PV6","Q92997"
"O43159","Q92997"
"Q96C24","Q92997"
"Q96T49","Q92997"
"Q9P127","Q92997"
"P86480","Q92997"
"Q9UFB7","Q92997"
"Q86YD7","Q92997"
"P03431","Q92997"
"Q96EG3","Q92997"
"O43167","Q92997"
"Q5S007","Q92997"
"Q14498","Q92997"
"Q96EB6","Q92997"
"Q9UK58","Q92997"
"Q04360","Q93062"
"Q2PRM9","O95816"
"P29882","P14373"
"Q9NVN8","Q6NT76"
"O95363","Q6NT76"
"P03495","Q6NT76"
"Q8N8B7","Q6NT76"
"Q8NHY3","Q6NT76"
"O15499","Q6NT76"
"Q9HCK0","Q6NT76"
"P03363","Q9UBB9"
"P24835","Q14160"
"P05412","P15336"
"Q68G74","P15336"
"A4PIW0","P15336"
"P0C746","P15336"
"P17275","P15336"
"Q9NR55","P15336"
"P19367","P15336"
"P13639","P15336"
"A4PIV8","P15336"
"Q99986","P15336"
"P56524","P15336"
"O60941","Q9UJY5"
"Q9UJY4","Q9UJY5"
"P14335","Q9UJY5"
"P56817","Q9UJY5"
"Q8TAB5","Q9UJY5"
"P11717","Q9UJY5"
"Q9Y3C5","Q9UJY5"
"Q92673","Q9UJY5"
"Q9Y618","Q01094"
"P03255","Q01094"
"Q92547","Q01094"
"Q14684","Q01094"
"Q96EB6","Q01094"
"P04590","Q86U06"
"P03431","Q93062"
"O95561","P45984"
"Q6DP93","P45984"
"Q8N9I9","P45984"
"Q8IYX7","P45984"
"P18825","Q99750"
"O15169","Q99750"
"Q96MY7","Q99750"
"Q8TAB5","Q99750"
"Q9Y5V3","Q99750"
"Q9BXC9","Q99750"
"F1D8P7","Q99750"
"Q9BT49","Q99750"
"P17482","Q99750"
"O60336","Q99750"
"O95817","Q99750"
"O14512","Q99750"
"O60573","Q99750"
"Q91B85","Q99750"
"Q96GV9","Q99750"
"Q5T0F9","Q99750"
"Q06418","Q99750"
"Q99988","Q99750"
"P00441","P30153"
"Q13136","P30153"
"Q69117","P30153"
"Q9BWN1","P30153"
"P13569","P30153"
"Q9NRL3","P30153"
"P03070","Q9Y297"
"O96017","P52292"
"P45973","P52292"
"Q01860","P52292"
"P63010","P52292"
"Q9NP66","P52292"
"P03070","P52292"
"P46063","P52292"
"O43148","P52292"
"P02545","P52292"
"Q8TBE0","Q9NRD5"
"P38919","Q9NRD5"
"Q8NHQ9","Q9NRD5"
"Q92917","Q9NRD5"
"Q2TBE0","Q9NRD5"
"Q8IZU1","Q9NRD5"
"Q96GE4","Q9NRD5"
"Q12774","Q9NRD5"
"Q8NBZ0","Q9NRD5"
"Q96MY7","Q9NRD5"
"Q7Z4V0","Q9NRD5"
"Q15287","Q9NRD5"
"Q03933","Q9NRD5"
"O43159","Q9NRD5"
"Q9NP66","Q9NRD5"
