"mProtein","dProtein"
"Q9BPZ3","P11940"
"Q8NDV7","P11940"
"Q5S007","P11940"
"Q86VM9","P11940"
"O00571","P11940"
"Q58A45","P11940"
"Q9UKV8","P11940"
"Q9HCJ0","P11940"
"Q8IYD1","P11940"
"O43432","P11940"
"Q9UN81","P11940"
"P32121","P11940"
"P08559","P11940"
"Q99700","P11940"
"Q04637","P11940"
"Q9UBX2","P11940"
"P28562","P11940"
"P09622","P11940"
"P12520","Q7L5N1"
"Q8N6Y0","Q7L5N1"
"P78396","Q7L5N1"
"Q7KZN9","P11940"
"P36957","P11940"
"Q6QDQ4","P11940"
"P06821","Q6NUQ1"
"A2RRP1","Q6NUQ1"
"Q63HK5","Q6NUQ1"
"P26554","Q12959"
"P06921","P22736"
"Q96JS3","P22736"
"P04350","P22736"
"Q9Y2Z9","P05141"
"Q8TB22","P05141"
"Q99558","P05141"
"Q99IB8","P05141"
"P0CK56","P49368"
"Q13033","P49368"
"Q5S007","P49368"
"O41958","Q15172"
"Q9H246","Q15172"
"Q9Y2T1","Q15172"
"Q14738","Q15172"
"P0CK56","Q9Y5V3"
"Q03989","Q9Y5V3"
"O14503","Q9Y5V3"
"Q86500","Q8TAD8"
"P49761","Q8TAD8"
"P01106","Q8TAD8"
"P00441","Q8WUM4"
"Q9Y5K6","Q8WUM4"
"Q96B97","Q8WUM4"
"Q90VU7","Q8WUM4"
"P19320","Q8WUM4"
"Q53EZ4","Q8WUM4"
"P32121","Q92522"
"P08559","Q92522"
"P51858","Q92522"
"Q96H96","Q92522"
"P00441","Q92522"
"P11387","Q92522"
"P03466","Q92522"
"Q12824","Q92522"
"Q13322","Q92522"
"P29882","Q9BV19"
"Q08426","Q9BV19"
"Q0VD86","Q9BV19"
"Q6FHY5","Q9BV19"
"Q14232","Q9BV19"
"P55036","P55036"
"P09622","P55036"
"P0DPB3","P55036"
"P41134","P55036"
"Q9UMX0","P55036"
"Q9NUJ3","P55036"
"Q5S007","P55036"
"O95613","P55036"
"P13285","P55036"
"P42858","P55036"
"P03126","Q14160"
"Q13505","Q6UXV4"
"Q9Y512","Q6UXV4"
"Q96TA2","Q6UXV4"
"P88988","Q6UXV4"
"P17152","Q6UXV4"
"Q9BRQ6","Q6UXV4"
"Q96TC7","Q6UXV4"
"Q9NVH1","Q6UXV4"
"Q16891","Q6UXV4"
"P21735","Q12959"
"P06422","O94842"
"P62140","O94842"
"Q2TAL8","O94842"
"O95947","O94842"
